Siruta,Localitate,Votanti_LP,Barbati_25-34,Barbati_35-44,Barbati_45-64,Barbati_65_,Femei_18-24,Femei_35-44,Femei_45-64,Femei_65_
54270,Teregova,872000,609.45,609.45,2031.5,2031.5,8126,406.3,609.45,2031.5
54305,Ticvaniu Mare,873000,300.15,300.15,1000.5,1000.5,4002,200.1,300.15,1000.5
54350,Tarnova,874000,250.5,250.5,835,835,3340,167,250.5,835
54387,Toplet,875000,391.8,391.8,1306,1306,5224,261.2,391.8,1306
54412,Turnu Ruieni,876000,522.15,522.15,1740.5,1740.5,6962,348.1,522.15,1740.5
54485,Valiug,877000,115.35,115.35,384.5,384.5,1538,76.9,115.35,384.5
54500,Varadia,878000,213.15,213.15,710.5,710.5,2842,142.1,213.15,710.5
54537,Vermes,879000,230.1,230.1,767,767,3068,153.4,230.1,767
54573,Vrani,880000,175.35,175.35,584.5,584.5,2338,116.9,175.35,584.5
54617,Zavoi,881000,621.45,621.45,2071.5,2071.5,8286,414.3,621.45,2071.5
54699,Zorlentu Mare,882000,130.2,130.2,434,434,1736,86.8,130.2,434
54975,Municipiul Cluj-Napoca,883000,48287.4,48287.4,160958,160958,643832,32191.6,48287.4,160958
55008,Municipiul Dej,884000,5847.9,5847.9,19493,19493,77972,3898.6,5847.9,19493
55062,Cuzdrioara,885000,448.95,448.95,1496.5,1496.5,5986,299.3,448.95,1496.5
55106,Jichisu De Jos,886000,172.65,172.65,575.5,575.5,2302,115.1,172.65,575.5
55160,Mica,887000,542.4,542.4,1808,1808,7232,361.6,542.4,1808
55259,Municipiul Turda,888000,8601.15,8601.15,28670.5,28670.5,114682,5734.1,8601.15,28670.5
55277,Mihai Viteazu,889000,869.25,869.25,2897.5,2897.5,11590,579.5,869.25,2897.5
55311,Sandulesti,890000,301.2,301.2,1004,1004,4016,200.8,301.2,1004
55357,Municipiul Campia Turzii,891000,4247.7,4247.7,14159,14159,56636,2831.8,4247.7,14159
55384,Municipiul Gherla,892000,3486.75,3486.75,11622.5,11622.5,46490,2324.5,3486.75,11622.5
55446,Oras Huedin,893000,1444.8,1444.8,4816,4816,19264,963.2,1444.8,4816
55473,Aghiresu,894000,1018.35,1018.35,3394.5,3394.5,13578,678.9,1018.35,3394.5
55598,Aiton,895000,156.45,156.45,521.5,521.5,2086,104.3,156.45,521.5
55623,Alunis,896000,181.65,181.65,605.5,605.5,2422,121.1,181.65,605.5
55687,Apahida,897000,1789.05,1789.05,5963.5,5963.5,23854,1192.7,1789.05,5963.5
55776,Aschileu,898000,240.3,240.3,801,801,3204,160.2,240.3,801
55838,Baciu,899000,1622.1,1622.1,5407,5407,21628,1081.4,1622.1,5407
55918,Baisoara,900000,308.85,308.85,1029.5,1029.5,4118,205.9,308.85,1029.5
56014,Belis,901000,199.05,199.05,663.5,663.5,2654,132.7,199.05,663.5
56096,Bobalna,902000,224.4,224.4,748,748,2992,149.6,224.4,748
56210,Bontida,903000,732,732,2440,2440,9760,488,732,2440
56265,Borsa,904000,207.15,207.15,690.5,690.5,2762,138.1,207.15,690.5
56327,Buza,905000,192,192,640,640,2560,128,192,640
56354,Caianu,906000,357.9,357.9,1193,1193,4772,238.6,357.9,1193
56425,Calarasi,907000,366,366,1220,1220,4880,244,366,1220
56461,Calatele,908000,368.7,368.7,1229,1229,4916,245.8,368.7,1229
56522,Camarasu,909000,416.85,416.85,1389.5,1389.5,5558,277.9,416.85,1389.5
56568,Capusu Mare,910000,466.5,466.5,1555,1555,6220,311,466.5,1555
56666,Caseiu,911000,717.75,717.75,2392.5,2392.5,9570,478.5,717.75,2392.5
56773,Catina,912000,280.8,280.8,936,936,3744,187.2,280.8,936
56844,Ceanu Mare,913000,589.05,589.05,1963.5,1963.5,7854,392.7,589.05,1963.5
56988,Chinteni,914000,472.05,472.05,1573.5,1573.5,6294,314.7,472.05,1573.5
57083,Chiuiesti,915000,379.5,379.5,1265,1265,5060,253,379.5,1265
57163,Ciucea,916000,235.35,235.35,784.5,784.5,3138,156.9,235.35,784.5
57225,Ciurila,917000,219.15,219.15,730.5,730.5,2922,146.1,219.15,730.5
57314,Catcau,918000,347.7,347.7,1159,1159,4636,231.8,347.7,1159
57350,Cojocna,919000,628.35,628.35,2094.5,2094.5,8378,418.9,628.35,2094.5
57449,Cornesti,920000,207.3,207.3,691,691,2764,138.2,207.3,691
57546,Dabaca,921000,216.75,216.75,722.5,722.5,2890,144.5,216.75,722.5
57582,Feleacu,922000,564.9,564.9,1883,1883,7532,376.6,564.9,1883
57644,Fizesu Gherlii,923000,401.55,401.55,1338.5,1338.5,5354,267.7,401.55,1338.5
57706,Floresti,924000,4224.45,4224.45,14081.5,14081.5,56326,2816.3,4224.45,14081.5
57742,Frata,925000,612.75,612.75,2042.5,2042.5,8170,408.5,612.75,2042.5
57831,Geaca,926000,233.1,233.1,777,777,3108,155.4,233.1,777
57902,Gilau,927000,1305.6,1305.6,4352,4352,17408,870.4,1305.6,4352
57948,Garbau,928000,347.7,347.7,1159,1159,4636,231.8,347.7,1159
58008,Iara,929000,609.45,609.45,2031.5,2031.5,8126,406.3,609.45,2031.5
58142,Iclod,930000,654.3,654.3,2181,2181,8724,436.2,654.3,2181
58204,Izvoru Crisului,931000,233.25,233.25,777.5,777.5,3110,155.5,233.25,777.5
58259,Jucu,932000,647.85,647.85,2159.5,2159.5,8638,431.9,647.85,2159.5
58311,Luna,933000,703.05,703.05,2343.5,2343.5,9374,468.7,703.05,2343.5
58357,Maguri-Racatau,934000,356.4,356.4,1188,1188,4752,237.6,356.4,1188
58393,Manastireni,935000,217.35,217.35,724.5,724.5,2898,144.9,217.35,724.5
58464,Margau,936000,237.9,237.9,793,793,3172,158.6,237.9,793
58534,Marisel,937000,235.65,235.65,785.5,785.5,3142,157.1,235.65,785.5
58552,Mintiu Gherlii,938000,574.65,574.65,1915.5,1915.5,7662,383.1,574.65,1915.5
58623,Mociu,939000,500.4,500.4,1668,1668,6672,333.6,500.4,1668
58721,Moldovenesti,940000,484.2,484.2,1614,1614,6456,322.8,484.2,1614
58794,Palatca,941000,168.6,168.6,562,562,2248,112.4,168.6,562
58856,Panticeu,942000,259.95,259.95,866.5,866.5,3466,173.3,259.95,866.5
58918,Petrestii De Jos,943000,231.15,231.15,770.5,770.5,3082,154.1,231.15,770.5
58990,Ploscos,944000,103.5,103.5,345,345,1380,69,103.5,345
59041,Poieni,945000,757.8,757.8,2526,2526,10104,505.2,757.8,2526
59130,Recea-Cristur,946000,207,207,690,690,2760,138,207,690
59238,Risca,947000,224.1,224.1,747,747,2988,149.4,224.1,747
59283,Sacuieu,948000,224.1,224.1,747,747,2988,149.4,224.1,747
59327,Savadisla,949000,626.4,626.4,2088,2088,8352,417.6,626.4,2088
59416,Sic,950000,360.75,360.75,1202.5,1202.5,4810,240.5,360.75,1202.5
59434,Sancraiu,951000,235.8,235.8,786,786,3144,157.2,235.8,786
59498,Sanmartin,952000,207.6,207.6,692,692,2768,138.4,207.6,692
59586,Sanpaul,953000,340.95,340.95,1136.5,1136.5,4546,227.3,340.95,1136.5
59657,Suatu,954000,250.2,250.2,834,834,3336,166.8,250.2,834
59693,Tritenii De Jos,955000,704.85,704.85,2349.5,2349.5,9398,469.9,704.85,2349.5
59764,Tureni,956000,335.25,335.25,1117.5,1117.5,4470,223.5,335.25,1117.5
59826,Taga,957000,273.15,273.15,910.5,910.5,3642,182.1,273.15,910.5
59880,Unguras,958000,410.55,410.55,1368.5,1368.5,5474,273.7,410.55,1368.5
59942,Vad,959000,303.9,303.9,1013,1013,4052,202.6,303.9,1013
60026,Valea Ierii,960000,140.55,140.55,468.5,468.5,1874,93.7,140.55,468.5
60062,Viisoara,961000,899.85,899.85,2999.5,2999.5,11998,599.9,899.85,2999.5
60099,Vultureni,962000,205.05,205.05,683.5,683.5,2734,136.7,205.05,683.5
60169,Negreni,963000,358.95,358.95,1196.5,1196.5,4786,239.3,358.95,1196.5
60419,Municipiul Constanta,964000,47696.1,47696.1,158987,158987,635948,31797.4,47696.1,158987
60455,Oras Eforie,965000,1647.9,1647.9,5493,5493,21972,1098.6,1647.9,5493
60482,Municipiul Mangalia,966000,6335.55,6335.55,21118.5,21118.5,84474,4223.7,6335.55,21118.5
60507,Oras Navodari,967000,6253.95,6253.95,20846.5,20846.5,83386,4169.3,6253.95,20846.5
60534,Oras Techirghiol,968000,1211.4,1211.4,4038,4038,16152,807.6,1211.4,4038
60570,Agigea,969000,1190.55,1190.55,3968.5,3968.5,15874,793.7,1190.55,3968.5
60598,23-Aug,970000,862.95,862.95,2876.5,2876.5,11506,575.3,862.95,2876.5
60632,Limanu,971000,983.85,983.85,3279.5,3279.5,13118,655.9,983.85,3279.5
60687,Oras Ovidiu,972000,2343,2343,7810,7810,31240,1562,2343,7810
60721,Tuzla,973000,1067.25,1067.25,3557.5,3557.5,14230,711.5,1067.25,3557.5
60776,Oras Cernavoda,974000,2910.15,2910.15,9700.5,9700.5,38802,1940.1,2910.15,9700.5
60801,Oras Harsova,975000,1684.65,1684.65,5615.5,5615.5,22462,1123.1,1684.65,5615.5
60847,Municipiul Medgidia,976000,6915.9,6915.9,23053,23053,92212,4610.6,6915.9,23053
60883,Adamclisi,977000,358.2,358.2,1194,1194,4776,238.8,358.2,1194
60945,Albesti,978000,563.7,563.7,1879,1879,7516,375.8,563.7,1879
61005,Aliman,979000,433.2,433.2,1444,1444,5776,288.8,433.2,1444
61069,Oras Baneasa,980000,875.4,875.4,2918,2918,11672,583.6,875.4,2918
61121,Castelu,981000,813.3,813.3,2711,2711,10844,542.2,813.3,2711
61167,Cerchezu,982000,215.4,215.4,718,718,2872,143.6,215.4,718
61210,Chirnogeni,983000,510.45,510.45,1701.5,1701.5,6806,340.3,510.45,1701.5
61256,Ciobanu,984000,529.5,529.5,1765,1765,7060,353,529.5,1765
61283,Ciocarlia,985000,471.75,471.75,1572.5,1572.5,6290,314.5,471.75,1572.5
61318,Cobadin,986000,1424.85,1424.85,4749.5,4749.5,18998,949.9,1424.85,4749.5
61372,Cogealac,987000,839.7,839.7,2799,2799,11196,559.8,839.7,2799
61452,Comana,988000,302.85,302.85,1009.5,1009.5,4038,201.9,302.85,1009.5
61513,Corbu,989000,943.8,943.8,3146,3146,12584,629.2,943.8,3146
61559,Crucea,990000,488.25,488.25,1627.5,1627.5,6510,325.5,488.25,1627.5
61620,Cumpana,991000,2132.85,2132.85,7109.5,7109.5,28438,1421.9,2132.85,7109.5
61675,Deleni,992000,373.5,373.5,1245,1245,4980,249,373.5,1245
61737,Dobromir,993000,525.75,525.75,1752.5,1752.5,7010,350.5,525.75,1752.5
61808,Garliciu,994000,261,261,870,870,3480,174,261,870
61826,Ghindaresti,995000,409.2,409.2,1364,1364,5456,272.8,409.2,1364
61871,Independenta,996000,458.7,458.7,1529,1529,6116,305.8,458.7,1529
61951,Ion Corvin,997000,313.8,313.8,1046,1046,4184,209.2,313.8,1046
62020,Istria,998000,388.2,388.2,1294,1294,5176,258.8,388.2,1294
62057,Lipnita,999000,485.25,485.25,1617.5,1617.5,6470,323.5,485.25,1617.5
62137,Mereni,1000000,370.65,370.65,1235.5,1235.5,4942,247.1,370.65,1235.5
62191,Mihail Kogalniceanu,1001000,1545.3,1545.3,5151,5151,20604,1030.2,1545.3,5151
62253,Mihai Viteazu,1002000,558.75,558.75,1862.5,1862.5,7450,372.5,558.75,1862.5
62280,Mircea Voda,1003000,805.8,805.8,2686,2686,10744,537.2,805.8,2686
62360,Oras Murfatlar,1004000,1747.35,1747.35,5824.5,5824.5,23298,1164.9,1747.35,5824.5
62397,Oras Negru Voda,1005000,867.9,867.9,2893,2893,11572,578.6,867.9,2893
62440,Nicolae Balcescu,1006000,825.3,825.3,2751,2751,11004,550.2,825.3,2751
62486,Oltina,1007000,404.55,404.55,1348.5,1348.5,5394,269.7,404.55,1348.5
62538,Ostrov,1008000,755.25,755.25,2517.5,2517.5,10070,503.5,755.25,2517.5
62609,Pantelimon,1009000,276.15,276.15,920.5,920.5,3682,184.1,276.15,920.5
62672,Pecineaga,1010000,512.7,512.7,1709,1709,6836,341.8,512.7,1709
62707,Pestera,1011000,534.6,534.6,1782,1782,7128,356.4,534.6,1782
62761,Poarta Alba,1012000,844.05,844.05,2813.5,2813.5,11254,562.7,844.05,2813.5
62798,Rasova,1013000,585.3,585.3,1951,1951,7804,390.2,585.3,1951
62823,Saraiu,1014000,200.25,200.25,667.5,667.5,2670,133.5,200.25,667.5
62878,Sacele,1015000,360.9,360.9,1203,1203,4812,240.6,360.9,1203
62903,Seimeni,1016000,334.65,334.65,1115.5,1115.5,4462,223.1,334.65,1115.5
62949,Silistea,1017000,227.85,227.85,759.5,759.5,3038,151.9,227.85,759.5
62985,Targusor,1018000,252,252,840,840,3360,168,252,840
63045,Topalu,1019000,272.4,272.4,908,908,3632,181.6,272.4,908
63072,Topraisar,1020000,927.3,927.3,3091,3091,12364,618.2,927.3,3091
63125,Valu Lui Traian,1021000,2208.3,2208.3,7361,7361,29444,1472.2,2208.3,7361
63152,Lumina,1022000,1591.65,1591.65,5305.5,5305.5,21222,1061.1,1591.65,5305.5
63161,Dumbraveni,1023000,84.3,84.3,281,281,1124,56.2,84.3,281
63170,Vulturu,1024000,112.35,112.35,374.5,374.5,1498,74.9,112.35,374.5
63189,Tortoman,1025000,288.75,288.75,962.5,962.5,3850,192.5,288.75,962.5
63198,Amzacea,1026000,427.95,427.95,1426.5,1426.5,5706,285.3,427.95,1426.5
63278,Horia,1027000,175.95,175.95,586.5,586.5,2346,117.3,175.95,586.5
63286,Costinesti,1028000,475.65,475.65,1585.5,1585.5,6342,317.1,475.65,1585.5
63294,Baraganu,1029000,322.2,322.2,1074,1074,4296,214.8,322.2,1074
63300,Cuza Voda,1030000,654.45,654.45,2181.5,2181.5,8726,436.3,654.45,2181.5
63318,Saligny,1031000,342.45,342.45,1141.5,1141.5,4566,228.3,342.45,1141.5
63326,Gradina,1032000,173.4,173.4,578,578,2312,115.6,173.4,578
63334,Fantanele,1033000,244.8,244.8,816,816,3264,163.2,244.8,816
63394,Municipiul Sfantu Gheorghe,1034000,9767.7,9767.7,32559,32559,130236,6511.8,9767.7,32559
63447,Oras Baraolt,1035000,1404.9,1404.9,4683,4683,18732,936.6,1404.9,4683
63526,Oras Covasna,1036000,1701.45,1701.45,5671.5,5671.5,22686,1134.3,1701.45,5671.5
63553,Comandau,1037000,151.65,151.65,505.5,505.5,2022,101.1,151.65,505.5
63580,Oras Intorsura Buzaului,1038000,1405.2,1405.2,4684,4684,18736,936.8,1405.2,4684
63633,Barcani,1039000,603.45,603.45,2011.5,2011.5,8046,402.3,603.45,2011.5
63688,Sita Buzaului,1040000,732.15,732.15,2440.5,2440.5,9762,488.1,732.15,2440.5
63740,Municipiul Targu Secuiesc,1041000,3042.15,3042.15,10140.5,10140.5,40562,2028.1,3042.15,10140.5
63777,Aita Mare,1042000,250.65,250.65,835.5,835.5,3342,167.1,250.65,835.5
63802,Batani,1043000,702,702,2340,2340,9360,468,702,2340
63866,Belin,1044000,454.65,454.65,1515.5,1515.5,6062,303.1,454.65,1515.5
63893,Bodoc,1045000,387,387,1290,1290,5160,258,387,1290
63937,Borosneu Mare,1046000,494.25,494.25,1647.5,1647.5,6590,329.5,494.25,1647.5
64005,Brates,1047000,224.55,224.55,748.5,748.5,2994,149.7,224.55,748.5
64041,Bradut,1048000,766.2,766.2,2554,2554,10216,510.8,766.2,2554
64096,Bretcu,1049000,555.3,555.3,1851,1851,7404,370.2,555.3,1851
64130,Catalina,1050000,508.65,508.65,1695.5,1695.5,6782,339.1,508.65,1695.5
64194,Cernat,1051000,605.1,605.1,2017,2017,8068,403.4,605.1,2017
64238,Chichis,1052000,237.6,237.6,792,792,3168,158.4,237.6,792
64265,Dobarlau,1053000,329.25,329.25,1097.5,1097.5,4390,219.5,329.25,1097.5
64318,Ghelinta,1054000,775.95,775.95,2586.5,2586.5,10346,517.3,775.95,2586.5
64345,Ghidfalau,1055000,400.95,400.95,1336.5,1336.5,5346,267.3,400.95,1336.5
64390,Haghig,1056000,349.05,349.05,1163.5,1163.5,4654,232.7,349.05,1163.5
64425,Ilieni,1057000,302.1,302.1,1007,1007,4028,201.4,302.1,1007
64461,Lemnia,1058000,289.5,289.5,965,965,3860,193,289.5,965
64504,Malnas,1059000,159.9,159.9,533,533,2132,106.6,159.9,533
64568,Moacsa,1060000,182.55,182.55,608.5,608.5,2434,121.7,182.55,608.5
64602,Ojdula,1061000,537.9,537.9,1793,1793,7172,358.6,537.9,1793
64639,Ozun,1062000,698.25,698.25,2327.5,2327.5,9310,465.5,698.25,2327.5
64719,Poian,1063000,265.95,265.95,886.5,886.5,3546,177.3,265.95,886.5
64773,Reci,1064000,344.85,344.85,1149.5,1149.5,4598,229.9,344.85,1149.5
64826,Sanzieni,1065000,701.85,701.85,2339.5,2339.5,9358,467.9,701.85,2339.5
64871,Turia,1066000,584.55,584.55,1948.5,1948.5,7794,389.7,584.55,1948.5
64906,Valea Crisului,1067000,364.5,364.5,1215,1215,4860,243,364.5,1215
64942,Valcele,1068000,756,756,2520,2520,10080,504,756,2520
64997,Varghis,1069000,277.5,277.5,925,925,3700,185,277.5,925
65011,Zagon,1070000,802.05,802.05,2673.5,2673.5,10694,534.7,802.05,2673.5
65048,Zabala,1071000,730.5,730.5,2435,2435,9740,487,730.5,2435
65099,Valea Mare,1072000,173.1,173.1,577,577,2308,115.4,173.1,577
65105,Mereni,1073000,197.7,197.7,659,659,2636,131.8,197.7,659
65113,Arcus,1074000,240,240,800,800,3200,160,240,800
65121,Bixad,1075000,273.15,273.15,910.5,910.5,3642,182.1,273.15,910.5
65139,Micfalau,1076000,277.8,277.8,926,926,3704,185.2,277.8,926
65147,Dalnic,1077000,145.05,145.05,483.5,483.5,1934,96.7,145.05,483.5
65154,Estelnic,1078000,173.25,173.25,577.5,577.5,2310,115.5,173.25,577.5
65342,Municipiul Targoviste,1079000,14043.9,14043.9,46813,46813,187252,9362.6,14043.9,46813
65379,Aninoasa,1080000,931.65,931.65,3105.5,3105.5,12422,621.1,931.65,3105.5
65413,Doicesti,1081000,718.35,718.35,2394.5,2394.5,9578,478.9,718.35,2394.5
65431,Razvad,1082000,1316.1,1316.1,4387,4387,17548,877.4,1316.1,4387
65477,Sotanga,1083000,1081.65,1081.65,3605.5,3605.5,14422,721.1,1081.65,3605.5
65501,Ulmi,1084000,661.65,661.65,2205.5,2205.5,8822,441.1,661.65,2205.5
65609,Oras Fieni,1085000,1147.8,1147.8,3826,3826,15304,765.2,1147.8,3826
65645,Motaieni,1086000,313.65,313.65,1045.5,1045.5,4182,209.1,313.65,1045.5
65681,Oras Gaesti,1087000,2301.9,2301.9,7673,7673,30692,1534.6,2301.9,7673
65707,Gura Foii,1088000,333,333,1110,1110,4440,222,333,1110
65752,Petresti,1089000,843.45,843.45,2811.5,2811.5,11246,562.3,843.45,2811.5
65841,Municipiul Moreni,1090000,3078.6,3078.6,10262,10262,41048,2052.4,3078.6,10262
65869,Iedera,1091000,593.7,593.7,1979,1979,7916,395.8,593.7,1979
65921,Oras Pucioasa,1092000,2310.15,2310.15,7700.5,7700.5,30802,1540.1,2310.15,7700.5
66009,Branesti,1093000,649.5,649.5,2165,2165,8660,433,649.5,2165
66081,Oras Titu,1094000,1554.15,1554.15,5180.5,5180.5,20722,1036.1,1554.15,5180.5
66152,Branistea,1095000,627.9,627.9,2093,2093,8372,418.6,627.9,2093
66198,Baleni,1096000,1317.45,1317.45,4391.5,4391.5,17566,878.3,1317.45,4391.5
66223,Barbuletu,1097000,330.75,330.75,1102.5,1102.5,4410,220.5,330.75,1102.5
66330,Bezdead,1098000,684,684,2280,2280,9120,456,684,2280
66401,Bilciuresti,1099000,277.05,277.05,923.5,923.5,3694,184.7,277.05,923.5
66438,Buciumeni,1100000,679.5,679.5,2265,2265,9060,453,679.5,2265
66474,Bucsani,1101000,1039.95,1039.95,3466.5,3466.5,13866,693.3,1039.95,3466.5
66526,Candesti,1102000,420.45,420.45,1401.5,1401.5,5606,280.3,420.45,1401.5
66580,Cobia,1103000,459,459,1530,1530,6120,306,459,1530
66697,Cojasca,1104000,1267.95,1267.95,4226.5,4226.5,16906,845.3,1267.95,4226.5
66731,Comisani,1105000,777.75,777.75,2592.5,2592.5,10370,518.5,777.75,2592.5
66768,Contesti,1106000,648.9,648.9,2163,2163,8652,432.6,648.9,2163
66857,Corbii Mari,1107000,1210.05,1210.05,4033.5,4033.5,16134,806.7,1210.05,4033.5
66955,Cornatelu,1108000,213.9,213.9,713,713,2852,142.6,213.9,713
67014,Cornesti,1109000,939.9,939.9,3133,3133,12532,626.6,939.9,3133
67121,Costestii Din Vale,1110000,531.75,531.75,1772.5,1772.5,7090,354.5,531.75,1772.5
67167,Crangurile,1111000,516.75,516.75,1722.5,1722.5,6890,344.5,516.75,1722.5
67256,Darmanesti,1112000,733.2,733.2,2444,2444,9776,488.8,733.2,2444
67292,Dobra,1113000,544.8,544.8,1816,1816,7264,363.2,544.8,1816
67327,Dragodana,1114000,1005.45,1005.45,3351.5,3351.5,13406,670.3,1005.45,3351.5
67407,Dragomiresti,1115000,1317.75,1317.75,4392.5,4392.5,17570,878.5,1317.75,4392.5
67470,Finta,1116000,622.35,622.35,2074.5,2074.5,8298,414.9,622.35,2074.5
67522,Glodeni,1117000,653.4,653.4,2178,2178,8712,435.6,653.4,2178
67595,Gura Ocnitei,1118000,1096.8,1096.8,3656,3656,14624,731.2,1096.8,3656
67648,Gura Sutii,1119000,809.25,809.25,2697.5,2697.5,10790,539.5,809.25,2697.5
67675,Hulubesti,1120000,485.7,485.7,1619,1619,6476,323.8,485.7,1619
67737,I. L. Caragiale,1121000,1021.5,1021.5,3405,3405,13620,681,1021.5,3405
67773,Lucieni,1122000,451.65,451.65,1505.5,1505.5,6022,301.1,451.65,1505.5
67835,Ludesti,1123000,772.65,772.65,2575.5,2575.5,10302,515.1,772.65,2575.5
67906,Lunguletu,1124000,826.95,826.95,2756.5,2756.5,11026,551.3,826.95,2756.5
67942,Malu Cu Flori,1125000,345.45,345.45,1151.5,1151.5,4606,230.3,345.45,1151.5
68002,Manesti,1126000,782.85,782.85,2609.5,2609.5,10438,521.9,782.85,2609.5
68048,Matasaru,1127000,787.35,787.35,2624.5,2624.5,10498,524.9,787.35,2624.5
68128,Mogosani,1128000,651.45,651.45,2171.5,2171.5,8686,434.3,651.45,2171.5
68182,Moroeni,1129000,773.85,773.85,2579.5,2579.5,10318,515.9,773.85,2579.5
68253,Morteni,1130000,425.85,425.85,1419.5,1419.5,5678,283.9,425.85,1419.5
68280,Nucet,1131000,642.75,642.75,2142.5,2142.5,8570,428.5,642.75,2142.5
68324,Ocnita,1132000,669.45,669.45,2231.5,2231.5,8926,446.3,669.45,2231.5
68342,Odobesti,1133000,766.2,766.2,2554,2554,10216,510.8,766.2,2554
68404,Pietrosita,1134000,479.4,479.4,1598,1598,6392,319.6,479.4,1598
68431,Poiana,1135000,541.35,541.35,1804.5,1804.5,7218,360.9,541.35,1804.5
68468,Potlogi,1136000,1348.8,1348.8,4496,4496,17984,899.2,1348.8,4496
68529,Produlesti,1137000,514.8,514.8,1716,1716,6864,343.2,514.8,1716
68565,Pucheni,1138000,278.4,278.4,928,928,3712,185.6,278.4,928
68627,Oras Racari,1139000,978.6,978.6,3262,3262,13048,652.4,978.6,3262
68716,Runcu,1140000,665.4,665.4,2218,2218,8872,443.6,665.4,2218
68789,Salcioara,1141000,586.95,586.95,1956.5,1956.5,7826,391.3,586.95,1956.5
68887,Selaru,1142000,474.6,474.6,1582,1582,6328,316.4,474.6,1582
68921,Tatarani,1143000,779.85,779.85,2599.5,2599.5,10398,519.9,779.85,2599.5
68976,Uliesti,1144000,619.65,619.65,2065.5,2065.5,8262,413.1,619.65,2065.5
69063,Valea Lunga,1145000,715.95,715.95,2386.5,2386.5,9546,477.3,715.95,2386.5
69170,Valea Mare,1146000,330.6,330.6,1102,1102,4408,220.4,330.6,1102
69250,Vacaresti,1147000,782.1,782.1,2607,2607,10428,521.4,782.1,2607
69303,Valeni-Dambovita,1148000,392.1,392.1,1307,1307,5228,261.4,392.1,1307
69330,Visina,1149000,601.05,601.05,2003.5,2003.5,8014,400.7,601.05,2003.5
69394,Visinesti,1150000,283.35,283.35,944.5,944.5,3778,188.9,283.35,944.5
69447,Varfuri,1151000,283.65,283.65,945.5,945.5,3782,189.1,283.65,945.5
69526,Voinesti,1152000,903.6,903.6,3012,3012,12048,602.4,903.6,3012
69615,Vulcana-Bai,1153000,455.7,455.7,1519,1519,6076,303.8,455.7,1519
69900,Municipiul Craiova,1154000,45891.9,45891.9,152973,152973,611892,30594.6,45891.9,152973
69964,Bucovat,1155000,624,624,2080,2080,8320,416,624,2080
70094,Isalnita,1156000,602.1,602.1,2007,2007,8028,401.4,602.1,2007
70110,Podari,1157000,1006.2,1006.2,3354,3354,13416,670.8,1006.2,3354
70174,Simnicu De Sus,1158000,700.65,700.65,2335.5,2335.5,9342,467.1,700.65,2335.5
70316,Municipiul Bailesti,1159000,3002.4,3002.4,10008,10008,40032,2001.6,3002.4,10008
70352,Municipiul Calafat,1160000,2781.3,2781.3,9271,9271,37084,1854.2,2781.3,9271
70414,Oras Filiasi,1161000,2765.85,2765.85,9219.5,9219.5,36878,1843.9,2765.85,9219.5
70502,Oras Segarcea,1162000,1204.2,1204.2,4014,4014,16056,802.8,1204.2,4014
70520,Afumati,1163000,403.95,403.95,1346.5,1346.5,5386,269.3,403.95,1346.5
70566,Almaj,1164000,285.6,285.6,952,952,3808,190.4,285.6,952
70637,Amarastii De Jos,1165000,838.5,838.5,2795,2795,11180,559,838.5,2795
70673,Amarastii De Sus,1166000,247.95,247.95,826.5,826.5,3306,165.3,247.95,826.5
70726,Apele Vii,1167000,310.95,310.95,1036.5,1036.5,4146,207.3,310.95,1036.5
70744,Argetoaia,1168000,687.3,687.3,2291,2291,9164,458.2,687.3,2291
70879,Oras Bechet,1169000,652.95,652.95,2176.5,2176.5,8706,435.3,652.95,2176.5
70897,Bistret,1170000,647.4,647.4,2158,2158,8632,431.6,647.4,2158
70940,Barca,1171000,612.6,612.6,2042,2042,8168,408.4,612.6,2042
70968,Botosesti-Paia,1172000,106.65,106.65,355.5,355.5,1422,71.1,106.65,355.5
70986,Brabova,1173000,197.25,197.25,657.5,657.5,2630,131.5,197.25,657.5
71055,Bradesti,1174000,674.7,674.7,2249,2249,8996,449.8,674.7,2249
71126,Bralostita,1175000,562.35,562.35,1874.5,1874.5,7498,374.9,562.35,1874.5
71199,Bratovoesti,1176000,478.05,478.05,1593.5,1593.5,6374,318.7,478.05,1593.5
71260,Breasta,1177000,627.3,627.3,2091,2091,8364,418.2,627.3,2091
71340,Bulzesti,1178000,212.1,212.1,707,707,2828,141.4,212.1,707
71457,Calopar,1179000,584.25,584.25,1947.5,1947.5,7790,389.5,584.25,1947.5
71518,Caraula,1180000,377.7,377.7,1259,1259,5036,251.8,377.7,1259
71536,Carpen,1181000,346.35,346.35,1154.5,1154.5,4618,230.9,346.35,1154.5
71572,Castranova,1182000,483.45,483.45,1611.5,1611.5,6446,322.3,483.45,1611.5
71607,Calarasi,1183000,885,885,2950,2950,11800,590,885,2950
71634,Celaru,1184000,665.7,665.7,2219,2219,8876,443.8,665.7,2219
71698,Cerat,1185000,628.05,628.05,2093.5,2093.5,8374,418.7,628.05,2093.5
71723,Cernatesti,1186000,267.9,267.9,893,893,3572,178.6,267.9,893
71787,Cetate,1187000,819.3,819.3,2731,2731,10924,546.2,819.3,2731
71812,Cioroiasi,1188000,227.85,227.85,759.5,759.5,3038,151.9,227.85,759.5
71858,Ciupercenii Noi,1189000,785.25,785.25,2617.5,2617.5,10470,523.5,785.25,2617.5
